SEVERITYCODE,X,Y,WEATHER,LIGHTCOND,ROADCOND,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,ADDRTYPE,cluster_id
1,-122.3875981,47.69057545,Clear,Daylight,Dry,2019,4,16,5,17,Intersection,178
2,-122.3207804,47.61407567,Clear,Daylight,Dry,2020,4,16,2,17,Intersection,95
2,-122.3282695,47.57142045,Clear,Daylight,Dry,2020,4,16,4,14,Block,216
2,-122.3128573,47.5992175,Clear,Daylight,Dry,2019,4,17,3,9,Block,174
1,-122.3187414,47.67656667,Raining,Daylight,Wet,2019,4,17,5,13,Block,55
1,-122.3074866,47.59229464,Clear,Daylight,Dry,2019,5,20,4,19,Block,445
1,-122.3233488,47.71111241,Clear,Daylight,Dry,2020,4,15,2,7,Block,139
2,-122.3473385,47.66144499,Overcast,Daylight,Dry,2019,7,27,4,7,Block,420
2,-122.3224587,47.59583117,Clear,Daylight,Dry,2020,4,16,0,13,Intersection,288
1,-122.3458631,47.61299081,Raining,Daylight,Wet,2019,7,27,1,14,Block,307
1,-122.3149171,47.52601648,Clear,Dark - Street Lights On,Dry,2019,7,27,4,0,Block,327
1,-122.3684878,47.53371299,Clear,Daylight,Dry,2020,4,17,0,13,Intersection,373
1,-122.3207624,47.61296336,Overcast,Dark - Street Lights On,Wet,2020,4,17,2,21,Intersection,95
1,-122.3113976,47.73393647,Clear,Dusk,Dry,2020,4,16,6,19,Block,477
1,-122.34098629999998,47.66466207,Clear,Daylight,Dry,2020,4,15,3,16,Block,1
1,-122.2871721,47.60665462,Overcast,Daylight,Dry,2019,4,17,3,12,Block,342
2,-122.3154424,47.66128458,Clear,Daylight,Dry,2019,4,17,3,11,Intersection,351
1,-122.3629314,47.55635573,Raining,Daylight,Wet,2019,7,28,0,7,Block,122
1,-122.31884,47.68228173,Clear,Daylight,Dry,2019,5,20,3,17,Block,169
1,-122.3794265,47.67599307,Overcast,Dark - Street Lights On,Wet,2020,4,17,5,23,Block,186
2,-122.2938086,47.73376392,Clear,Daylight,Dry,2019,7,28,1,7,Intersection,405
1,-122.3234835,47.73405298,Overcast,Daylight,Dry,2019,5,19,6,12,Intersection,449
1,-122.2952331,47.71927875,Clear,Unknown,Unknown,2020,4,16,2,13,Intersection,11
2,-122.317786,47.70446465,Overcast,Daylight,Dry,2019,7,27,6,7,Block,136
2,-122.3281219,47.61697247,Clear,Daylight,Dry,2019,7,27,0,12,Block,217
