SEVERITYCODE,X,Y,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,-122.38759809999999,47.69057545,2019,4,16,5,17,178,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3207804,47.61407567,2020,4,16,2,17,95,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3282695,47.57142045,2020,4,16,4,14,216,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.31285729999999,47.5992175,2019,4,17,3,9,174,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.31874140000001,47.67656667,2019,4,17,5,13,55,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.30748659999999,47.59229464,2019,5,20,4,19,445,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.32334879999999,47.71111241,2020,4,15,2,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.3473385,47.66144499,2019,7,27,4,7,420,0,1,0,0,0,0,0,0,0,0,0,0,0
2,-122.32245870000001,47.59583117,2020,4,16,0,13,288,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3458631,47.61299081,2019,7,27,1,14,307,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.31491709999999,47.52601648,2019,7,27,4,0,327,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3684878,47.53371299,2020,4,17,0,13,373,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3207624,47.61296336,2020,4,17,2,21,95,0,1,0,0,0,1,0,0,0,0,0,1,1
1,-122.3113976,47.73393647,2020,4,16,6,19,477,0,0,0,0,0,0,0,1,0,0,0,0,0
1,-122.34098629999998,47.66466207,2020,4,15,3,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.28717209999999,47.60665462,2019,4,17,3,12,342,0,1,0,0,0,0,0,0,0,0,0,0,0
2,-122.31544240000001,47.66128458,2019,4,17,3,11,351,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.36293140000001,47.55635573,2019,7,28,0,7,122,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.31884,47.68228173,2019,5,20,3,17,169,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3794265,47.67599307,2020,4,17,5,23,186,0,1,0,0,0,1,0,0,0,0,0,1,0
2,-122.29380859999999,47.73376392,2019,7,28,1,7,405,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3234835,47.73405298,2019,5,19,6,12,449,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.2952331,47.71927875,2020,4,16,2,13,11,0,0,0,0,0,0,0,0,1,0,1,0,1
2,-122.31778600000001,47.70446465,2019,7,27,6,7,136,0,1,0,0,0,0,0,0,0,0,0,0,0
2,-122.3281219,47.61697247,2019,7,27,0,12,217,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.35450290000001,47.64688811,2020,4,17,0,19,468,0,0,0,0,0,0,0,1,0,0,0,0,1
1,-122.2879785,47.5270049,2020,4,17,0,0,259,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3443534,47.61327122,2019,7,27,5,23,307,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.35401780000001,47.51827331,2020,4,16,0,15,276,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.29311329999999,47.54617853,2019,5,19,3,8,409,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.33420579999999,47.56989028,2020,4,17,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.276948,47.67849981,2020,4,17,4,15,392,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3854518,47.56558728,2020,4,16,4,23,159,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3342065,47.56730967,2019,7,27,1,5,23,0,0,0,0,0,0,1,0,0,0,0,0,1
1,-122.3342549,47.61851729,2020,4,15,4,11,438,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.317457,47.68155393,2019,4,17,6,13,169,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.34542330000001,47.51730344,2019,2,8,4,22,237,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.33101470000001,47.60737228,2019,7,27,1,8,486,0,1,0,0,0,0,0,0,0,0,0,0,0
1,-122.3481953,47.72321838,2020,4,17,2,8,493,0,0,1,0,0,0,0,0,0,0,0,1,1
1,-122.2977111,47.72018323,2019,4,17,5,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3361223,47.60118905,2020,4,16,5,4,388,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3234379,47.61636354,2019,7,27,6,3,217,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.31669740000001,47.68310168,2019,4,16,4,17,169,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3161085,47.54751703,2019,7,27,6,18,15,0,1,0,0,0,0,0,0,0,0,0,1,0
