SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,4,16,5,17,178,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,17,3,9,174,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,17,5,13,55,0,0,1,0,0,0,0,0,0,0,0,1,0
1,5,20,4,19,445,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,27,4,7,420,0,1,0,0,0,0,0,0,0,0,0,0,0
1,7,27,1,14,307,0,0,1,0,0,0,0,0,0,0,0,1,0
1,7,27,4,0,327,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,17,3,12,342,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,17,3,11,351,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,28,0,7,122,0,0,1,0,0,0,0,0,0,0,0,1,0
1,5,20,3,17,169,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,28,1,7,405,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,19,6,12,449,0,1,0,0,0,0,0,0,0,0,0,0,1
2,7,27,6,7,136,0,1,0,0,0,0,0,0,0,0,0,0,0
2,7,27,0,12,217,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,5,23,307,0,0,0,0,0,1,0,0,0,0,0,0,1
1,5,19,3,8,409,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,27,1,5,23,0,0,0,0,0,0,1,0,0,0,0,0,1
1,4,17,6,13,169,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,8,4,22,237,0,0,0,0,0,1,0,0,0,0,0,0,1
1,7,27,1,8,486,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,17,5,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,27,6,3,217,0,0,0,0,0,1,0,0,0,0,0,0,1
1,4,16,4,17,169,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,27,6,18,15,0,1,0,0,0,0,0,0,0,0,0,1,0
2,7,27,1,1,455,0,0,0,0,0,1,0,0,0,0,0,0,1
1,7,27,6,20,160,0,0,1,0,0,0,0,0,0,0,0,1,1
1,4,17,2,19,351,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7,27,2,12,439,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,1,5,58,0,0,0,0,0,0,1,0,0,0,0,0,1
1,4,17,3,12,258,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,17,3,7,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,4,16,288,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,17,6,4,81,0,0,0,0,0,1,0,0,0,0,0,0,0
2,7,27,6,21,270,0,1,0,0,0,1,0,0,0,0,0,1,0
1,7,27,2,12,374,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,20,1,18,63,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,27,2,13,116,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,0,16,490,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,18,4,16,456,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,3,16,74,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,5,14,144,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,17,2,8,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,3,18,417,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,17,4,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,17,1,16,198,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,26,5,13,94,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,19,3,9,466,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,17,3,13,332,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,27,4,13,303,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,27,6,17,139,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,17,5,3,428,0,0,0,0,0,1,0,0,0,0,0,0,0
2,4,18,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,16,4,18,127,0,0,1,0,0,0,0,0,0,0,0,1,1
1,6,26,2,14,147,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,19,2,10,138,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,26,6,9,153,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,28,0,22,465,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5,19,2,7,142,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,18,6,17,300,0,1,0,0,0,0,0,1,0,0,0,0,0
2,5,20,2,16,63,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,17,2,9,307,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,18,0,17,243,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,17,4,21,253,0,0,0,0,0,1,0,0,0,0,0,0,1
1,7,27,5,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,18,6,18,155,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,18,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
