SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,1,1,3,18,404,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,5,4,20,78,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,4,3,8,300,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,4,2,18,116,0,1,0,0,0,1,0,0,0,0,0,1,1
2,1,2,0,18,230,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,2,20,462,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,4,3,16,374,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,4,4,9,444,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,6,13,461,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,6,20,166,0,1,0,0,0,1,0,0,0,0,0,1,1
2,1,1,3,14,141,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,1,19,147,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,2,1,10,142,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,17,253,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,3,6,8,221,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,20,148,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,6,21,311,0,1,0,0,0,1,0,0,0,0,0,0,0
2,1,4,1,12,111,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,3,0,18,87,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,1,6,3,244,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,1,8,463,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,4,1,20,213,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,1,5,7,234,0,1,0,0,0,0,1,0,0,0,0,0,1
2,1,2,2,13,456,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,5,314,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,4,15,352,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,4,1,17,216,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,4,5,0,267,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,1,3,16,142,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,5,8,224,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,6,3,24,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,6,12,147,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,4,4,6,486,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,4,3,12,216,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,3,4,23,122,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,2,2,11,128,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,12,466,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,14,62,1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,2,1,14,104,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,7,467,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,4,16,88,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,3,3,18,160,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,2,4,12,387,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,6,3,479,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,5,20,300,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,2,0,14,351,1,0,0,0,0,0,0,0,0,0,1,0,1
1,1,4,6,20,344,0,1,0,0,0,1,0,0,0,0,0,0,1
2,1,4,6,14,420,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,3,4,5,345,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,3,4,15,460,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,5,18,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,4,2,14,307,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,1,5,17,87,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,4,1,12,388,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,5,23,379,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,4,6,3,205,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,3,3,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,4,19,111,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,4,1,6,3,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,4,6,18,203,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,2,9,441,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,3,7,193,0,0,1,0,0,0,0,0,0,0,0,1,1
